assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,232223,None,,0,0,-1,1,0.0,584,60,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Folarin,0.0,536,50,0,0,0,0.0,600,59,1,False,0.0,593,57,0,Transferred to Monaco,2023-08-31T08:55:15.272751Z,44,523,92,0,0,None,0,,232223.jpg,0.0,606,63,0,0,0,Balogun,0.2,304,47,False,None,0,0,u,1,3,0.0,570,59,0,10024,0,59357,341,0.0,0.0,Balogun,0
0,0,0,None,None,0,0,58822,None,,0,0,-1,1,0.0,436,157,None,,0,2,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Cédric,0.0,360,114,0,0,0,0.0,461,159,2,False,0.0,455,160,0,,None,39,712,226,0,0,None,0,,58822.jpg,0.0,466,156,0,0,0,Alves Soares,0.4,249,97,False,None,0,0,a,1,3,0.0,411,147,0,27241,957,29105,976,0.0,0.0,Cédric,0
1,0,12,100,100,0,0.0,153256,None,,0,0,-1,1,0.5,417,208,None,,0,3,1.8,2.3,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,Mohamed,1.3,217,102,0,0.0,0,0.4,443,207,3,False,1.8,441,206,1,,2023-08-11T13:00:06.079379Z,44,491,281,0,0,None,0,,153256.jpg,4.0,57,31,0,0,0.0,Elneny,0.1,401,129,False,None,0,0.0,a,1,3,2.0,395,197,4,11505,451,14255,502,0.3,0.9,M.Elneny,0
3,0,62,0,100,1,0.38,438098,5,,0,0,-1,1,63.6,190,112,None,,0,3,0.0,2.7,-2,0.35,0.13,1.55,0.59,1.20,1.48,0.56,0.46,Fábio,1.7,204,95,2,0.76,1,21.9,225,110,4,False,79.4,255,102,236,Suspended until 09 Dec,2023-11-12T02:00:08.552136Z,54,126,81,0,0,4,0,,438098.jpg,2.6,179,78,1,0,0.0,Ferreira Vieira,0.1,393,128,False,None,2,0.76,s,1,3,77.0,149,91,21,11352,44,15753,1125,0.3,3.9,Fábio Vieira,0
0,2,142,100,100,3,0.36,226597,None,,0,0,-2,2,26.6,304,102,None,,0,2,1.8,2.3,2,0.11,0.01,0.45,0.05,0.34,7.50,0.91,0.04,Gabriel,1.3,228,76,7,0.85,0,21.1,234,73,5,False,137.8,164,65,744,,2023-09-30T23:00:07.672676Z,48,302,35,0,0,None,0,,226597.jpg,2.9,145,49,0,0,0.0,dos Santos Magalhães,14.9,23,7,False,None,8,0.97,a,1,3,46.0,208,52,29,858580,23115,2275931,19777,0.3,6.0,Gabriel,1
1,0,64,None,None,3,0.38,219847,None,,0,0,-4,4,129.8,89,64,None,,0,3,2.2,2.7,1,0.69,0.09,2.99,0.38,2.30,6.22,0.79,0.29,Kai,1.7,207,98,6,0.76,1,37.3,112,64,6,False,96.4,235,93,711,,None,71,28,16,0,0,3,0,,219847.jpg,2.1,230,100,0,0,0.0,Havertz,1.5,146,44,False,None,8,1.01,a,1,3,147.0,67,41,25,38726,1350,348373,2645,0.2,3.5,Havertz,4
1,2,51,50,25,2,0.5,205651,None,,0,0,-2,2,58.7,210,33,None,,0,4,0.2,0.2,0,0.30,0.07,2.01,0.5,1.71,4.22,1.05,0.43,Gabriel,0.0,737,94,4,0.99,1,26.9,194,30,8,False,67.8,276,33,362,Hamstring injury - 50% chance of playing,2023-10-24T23:30:07.618920Z,78,15,6,0,0,None,0,,205651.jpg,2.6,182,24,0,0,0.0,Fernando de Jesus,1.9,132,22,False,None,4,0.99,d,1,3,144.0,70,25,18,402124,1029,519903,6337,0.0,2.3,G.Jesus,2
0,0,60,100,100,1,0.24,85955,None,,0,0,-2,2,64.7,187,111,None,,0,3,1.8,2.3,2,0.30,0.07,0.39,0.09,0.09,4.68,1.11,0.02,Jorge Luiz,1.3,233,109,6,1.42,0,12.3,309,139,9,False,49.6,304,130,381,,2023-08-07T15:30:05.168632Z,53,132,83,0,0,None,0,,85955.jpg,1.4,318,149,0,0,0.0,Frello Filho,0.2,325,97,False,None,4,0.94,a,1,3,9.0,356,181,13,7364,467,15095,380,0.2,2.5,Jorginho,1
0,0,42,None,None,1,0.49,440854,None,,0,0,-2,2,6.4,376,137,None,,0,2,2.8,3.3,1,0.05,0.02,0.37,0.18,0.32,0.87,0.43,0.16,Jakub,2.3,130,44,2,0.99,0,5.3,373,134,10,False,29.4,353,136,182,,None,43,597,153,0,0,None,0,,440854.jpg,2.2,213,73,0,0,0.0,Kiwior,0.1,422,163,False,None,2,0.99,a,1,3,16.0,314,105,9,3718,131,7390,200,0.5,2.1,Kiwior,0
0,0,0,0,0,0,0,479683,None,,0,0,0,0,0.0,648,263,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Marcus,0.0,601,230,0,0,0,0.0,658,266,11,False,0.0,652,262,0,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,45,426,246,0,0,None,0,,479683.jpg,0.0,662,269,0,0,0,Oliveira Alencar,0.0,514,178,False,None,0,0,u,1,3,0.0,638,258,0,819,0,11431,62,0.0,0.0,Marquinhos,0
